@relation active_action_1
@attribute t1_a1 numeric
@attribute ct1_a1 numeric
@attribute t1_a2 numeric
@attribute ct1_a2 numeric
@attribute t1_a3 numeric
@attribute ct1_a3 numeric
@attribute t1_a4 numeric
@attribute ct1_a4 numeric
@attribute t1_a5 numeric
@attribute ct1_a5 numeric
@attribute t1_a6 numeric
@attribute ct1_a6 numeric
@attribute t2_a1 numeric
@attribute ct2_a1 numeric
@attribute t2_a2 numeric
@attribute ct2_a2 numeric
@attribute t2_a3 numeric
@attribute ct2_a3 numeric
@attribute t2_a4 numeric
@attribute ct2_a4 numeric
@attribute t2_a5 numeric
@attribute ct2_a5 numeric
@attribute t2_a6 numeric
@attribute ct2_a6 numeric
@attribute t3_a1 numeric
@attribute ct3_a1 numeric
@attribute t3_a2 numeric
@attribute ct3_a2 numeric
@attribute t3_a3 numeric
@attribute ct3_a3 numeric
@attribute t3_a4 numeric
@attribute ct3_a4 numeric
@attribute t3_a5 numeric
@attribute ct3_a5 numeric
@attribute t3_a6 numeric
@attribute ct3_a6 numeric
@attribute t4_a {0,1}
@data

0.0,0.0,0.0,0.25,0.2,0.0,0.2,0.5,0.4,0.0,0.2,0.25,0.0,0.0,0.18181818181818182,0.0,0.2727272727272727,0.0,0.45454545454545453,0.0,0.0,0.0,0.09090909090909091,1.0,0.16666666666666666,0.0,0.5,0.0,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.5,0.0,0.0,0
0.0,0.0,0.18181818181818182,0.0,0.2727272727272727,0.0,0.45454545454545453,0.0,0.0,0.0,0.09090909090909091,1.0,0.16666666666666666,0.0,0.5,0.0,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0
0.16666666666666666,0.0,0.5,0.0,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.5,0.14285714285714285,0.0,0.7142857142857143,0.5,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.5,0.14285714285714285,0.0,0.7142857142857143,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.8571428571428571,0.3333333333333333,0.14285714285714285,0.0,0.0,0.3333333333333333,1
0.0,0.0,0.14285714285714285,0.5,0.14285714285714285,0.0,0.7142857142857143,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.8571428571428571,0.3333333333333333,0.14285714285714285,0.0,0.0,0.3333333333333333,0.0,0.0,0.2,0.0,0.0,0.0,0.6,0.6666666666666666,0.0,0.0,0.2,0.3333333333333333,0
0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.8571428571428571,0.3333333333333333,0.14285714285714285,0.0,0.0,0.3333333333333333,0.0,0.0,0.2,0.0,0.0,0.0,0.6,0.6666666666666666,0.0,0.0,0.2,0.3333333333333333,0.0,0.0,0.4,0.5,0.2,0.125,0.4,0.375,0.0,0.0,0.0,0.0,0
0.0,0.0,0.2,0.0,0.0,0.0,0.6,0.6666666666666666,0.0,0.0,0.2,0.3333333333333333,0.0,0.0,0.4,0.5,0.2,0.125,0.4,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.5,0.25,0.25,0.0,0.0,0
0.0,0.0,0.4,0.5,0.2,0.125,0.4,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.75,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.75,0.0,0.0,0.1,0.0,0.2,0.5,0.2,0.0,0.3,0.5,0.1,0.0,0.1,0.0,0
